GISAID_ID	Virus_name
EPI_ISL_1001001	hCoV-19/Afghanistan/IMB07964/2020
EPI_ISL_1005231	hCoV-19/Latvia/ID3126/2020
EPI_ISL_1066621	hCoV-19/Denmark/DCGC-47109/2020
EPI_ISL_1081837	hCoV-19/North_Macedonia/ZMC-465/2021
EPI_ISL_1116468	hCoV-19/Tunisia/9066/2020
EPI_ISL_1279966	hCoV-19/Romania/B-90274/2020
EPI_ISL_1307660	hCoV-19/Papua_New_Guinea/35/2020
EPI_ISL_1324593	hCoV-19/Lithuania/S21C40/2021
EPI_ISL_1371935	hCoV-19/South_Africa/KRISP-K009338/2021
EPI_ISL_1419595	hCoV-19/India/WB-1931500893545/2020
EPI_ISL_1635400	hCoV-19/Scotland/CAMC-14DEDB2/2021
EPI_ISL_1660430	hCoV-19/Bahrain/840056873/2021
EPI_ISL_1660445	hCoV-19/Bahrain/920845243/2021
EPI_ISL_1663662	hCoV-19/Cote_d'Ivoire/BKE1406-bc50/2020
EPI_ISL_1663670	hCoV-19/Cote_d'Ivoire/BKE1423-bc74/2020
EPI_ISL_1671604	hCoV-19/USA/NY-Wadsworth-21042724-01/2021
EPI_ISL_1671923	hCoV-19/Congo/ITM-011-008LEK/2021
EPI_ISL_1705251	hCoV-19/Bonaire/BQ-RIVM-25778/2021
EPI_ISL_1798906	hCoV-19/USA/GU-CDC-2-4176739/2021
EPI_ISL_1838042	hCoV-19/India/MH-NS1115/2021
EPI_ISL_1854622	hCoV-19/Armenia/UW-ARM28/2020
EPI_ISL_1866857	hCoV-19/Denmark/DCGC-58354/2021
EPI_ISL_1915438	hCoV-19/Bangladesh/IEDCR-AFIP-002/2021
EPI_ISL_1921859	hCoV-19/Georgia/Tb-RNGS003/2020
EPI_ISL_1924796	hCoV-19/USA/TX-CDC-QDX24087466/2021
EPI_ISL_1960691	hCoV-19/Ireland/D-NVRL-89IRL51584/2021
EPI_ISL_1970089	hCoV-19/India/DEL-NCDC-INSACOG-22093/2021
EPI_ISL_1970241	hCoV-19/India/DEL-NCDC-INSACOG-2209228/2021
EPI_ISL_1989865	hCoV-19/USA/TX-CDC-QDX24087488/2021
EPI_ISL_1989891	hCoV-19/USA/TX-CDC-QDX24087493/2021
EPI_ISL_1991368	hCoV-19/USA/TX-CDC-STM-000059769/2021
EPI_ISL_2010380	hCoV-19/USA/TX-CDC-STM-000061221/2021
EPI_ISL_2022069	hCoV-19/England/MILK-1556AF6/2021
EPI_ISL_2039878	hCoV-19/USA/TX-CDC-ASC210076308/2021
EPI_ISL_2046388	hCoV-19/USA/CO-CDC-LC0055940/2021
EPI_ISL_2047772	hCoV-19/Spain/CT-HUVH-E13946/2021
EPI_ISL_2047773	hCoV-19/Spain/CT-HUVH-E13948/2021
EPI_ISL_2080973	hCoV-19/Belarus/RRPCEM-VIS_50/2021
EPI_ISL_2100692	hCoV-19/India/DL-AIIMS29/2021
EPI_ISL_2117300	hCoV-19/Germany/un-RKI-I-135137/2021
EPI_ISL_2119591	hCoV-19/England/ALDP-1569D60/2021
EPI_ISL_2123795	hCoV-19/Germany/un-RKI-I-139229/2021
EPI_ISL_2138007	hCoV-19/England/MILK-157B0CC/2021
EPI_ISL_2146810	hCoV-19/USA/CO-CDC-ASC210060149/2021
EPI_ISL_2147217	hCoV-19/USA/TX-CDC-ASC210058929/2021
EPI_ISL_2147983	hCoV-19/USA/CO-CDC-ASC210057692/2021
EPI_ISL_2157562	hCoV-19/Haiti/33984/2020
EPI_ISL_2158603	hCoV-19/Guinea_Bissau/88LNSPGB/2020
EPI_ISL_2158920	hCoV-19/USA/TX-CDC-ASC210058748/2021
EPI_ISL_2159264	hCoV-19/USA/CO-CDC-ASC210037080/2021
EPI_ISL_2160946	hCoV-19/USA/TX-CDC-FG-033673/2021
EPI_ISL_2177412	hCoV-19/USA/TX-DSHS-6362/2021
EPI_ISL_2180715	hCoV-19/USA/CO-CDC-ASC210061578/2021
EPI_ISL_2184842	hCoV-19/USA/KY-CDC-LC0058648/2021
EPI_ISL_2189679	hCoV-19/India/GJ-NCDC-NIV-INSACOG-2409152/2021
EPI_ISL_2189755	hCoV-19/India/MH-NCDC-NIV-INSACOG-2409247/2021
EPI_ISL_2189852	hCoV-19/India/MH-NCDC-NIV-INSACOG-2409368/2021
EPI_ISL_2193979	hCoV-19/USA/WY-WPHL-21034967/2021
EPI_ISL_2203742	hCoV-19/USA/TX-CDC-QDX24563946/2021
EPI_ISL_2225238	hCoV-19/USA/TX-HMH-MCoV-43541/2021
EPI_ISL_2226818	hCoV-19/USA/WY-WPHL-21035097/2021
EPI_ISL_2226819	hCoV-19/USA/WY-WPHL-21033968/2021
EPI_ISL_2231748	hCoV-19/India/AP-CCMB-CIA1077/2021
EPI_ISL_2232069	hCoV-19/Greece/3846L/2020
EPI_ISL_2245960	hCoV-19/Guinea/Conakry_IPG11718/2020
EPI_ISL_2247281	hCoV-19/USA/TX-CDC-QDX24564016/2021
EPI_ISL_2248749	hCoV-19/USA/KS-KHEL-1843/2021
EPI_ISL_2248750	hCoV-19/USA/KS-KHEL-1844/2021
EPI_ISL_2249544	hCoV-19/USA/MN-MDH-7259/2021
EPI_ISL_2268308	hCoV-19/Germany/HE-RKI-I-157873/2021
EPI_ISL_2268536	hCoV-19/USA/TX-CDC-QDX24758375/2021
EPI_ISL_2268576	hCoV-19/USA/TX-CDC-QDX24758376/2021
EPI_ISL_2270601	hCoV-19/USA/TX-CDC-STM-000070786/2021
EPI_ISL_2276096	hCoV-19/USA/KS-KHEL-1906/2021
EPI_ISL_2280749	hCoV-19/USA/KS-CDC-ASC210063834/2021
EPI_ISL_2280764	hCoV-19/USA/CO-CDC-ASC210063856/2021
EPI_ISL_2285774	hCoV-19/USA/WY-WYPHL-21036012/2021
EPI_ISL_2295285	hCoV-19/USA/OK-CDC-4114730-001/2021
EPI_ISL_2307079	hCoV-19/USA/NC-CDC-LC0061997/2021
EPI_ISL_2307175	hCoV-19/USA/CO-CDC-MMB08714093/2021
EPI_ISL_2309986	hCoV-19/USA/CO-CDPHE-2101020836/2021
EPI_ISL_2310076	hCoV-19/USA/CO-CDPHE-2100967864/2021
EPI_ISL_2310077	hCoV-19/USA/CO-CDPHE-2100967867/2021
EPI_ISL_2310174	hCoV-19/USA/CO-CDPHE-2101006530/2021
EPI_ISL_2310175	hCoV-19/USA/CO-CDPHE-2101006536/2021
EPI_ISL_2310440	hCoV-19/USA/CO-CDPHE-2101030795/2021
EPI_ISL_2311769	hCoV-19/USA/OK-CDC-4123191-001/2021
EPI_ISL_2368903	hCoV-19/USA/CO-CDC-ASC210065523/2021
EPI_ISL_2370180	hCoV-19/USA/CO-CDC-ASC210065886/2021
EPI_ISL_2370217	hCoV-19/USA/CO-CDC-ASC210065923/2021
EPI_ISL_2370372	hCoV-19/USA/OK-CDC-ASC210066345/2021
EPI_ISL_2370411	hCoV-19/USA/CO-CDC-ASC210066379/2021
EPI_ISL_2373177	hCoV-19/India/AP-CCMB-CIA1961/2021
EPI_ISL_2373179	hCoV-19/India/AP-CCMB-CIA1963/2021
EPI_ISL_2373398	hCoV-19/India/TG-CCMB-CIA2010/2021
EPI_ISL_2379596	hCoV-19/India/TN-C_46_S58_R1_001/2021
EPI_ISL_2382974	hCoV-19/India/MH-NCCS-271298459/2021
EPI_ISL_2383132	hCoV-19/USA/WY-WPHL-21036933/2021
EPI_ISL_2383133	hCoV-19/USA/WY-WPHL-21036935/2021
EPI_ISL_2383134	hCoV-19/USA/WY-WPHL-21036936/2021
EPI_ISL_2383136	hCoV-19/USA/WY-WPHL-21037017/2021
EPI_ISL_2383148	hCoV-19/USA/WY-WPHL-21037503/2021
EPI_ISL_2383151	hCoV-19/USA/WY-WPHL-21037592/2021
EPI_ISL_2383152	hCoV-19/USA/WY-WPHL-21037597/2021
EPI_ISL_2391814	hCoV-19/Spain/CT-HUVH-E22838/2021
EPI_ISL_2397758	hCoV-19/USA/TX-CDC-QDX25062897/2021
EPI_ISL_2400293	hCoV-19/USA/KS-KHEL-2048/2021
EPI_ISL_2400297	hCoV-19/USA/KS-KHEL-2052/2021
EPI_ISL_2400298	hCoV-19/USA/KS-KHEL-2053/2021
EPI_ISL_2400299	hCoV-19/USA/KS-KHEL-2054/2021
EPI_ISL_2439339	hCoV-19/USA/TX-CDC-QDX25164500/2021
EPI_ISL_2440576	hCoV-19/USA/TX-CDC-QDX25207676/2021
EPI_ISL_2440848	hCoV-19/USA/TX-CDC-QDX25284149/2021
EPI_ISL_2440981	hCoV-19/USA/CO-CDC-MMB08820062/2021
EPI_ISL_2441017	hCoV-19/USA/CO-CDC-MMB08820341/2021
EPI_ISL_2441019	hCoV-19/USA/CO-CDC-MMB08796725/2021
EPI_ISL_2441645	hCoV-19/India/TG-CCMB-CIA2859/2021
EPI_ISL_2442341	hCoV-19/USA/WY-WYPHL21038353/2021
EPI_ISL_2442343	hCoV-19/USA/WY-WYPHL21038400/2021
EPI_ISL_2443134	hCoV-19/USA/KS-KHEL-2194/2021
EPI_ISL_2443136	hCoV-19/USA/KS-KHEL-2196/2021
EPI_ISL_2450972	hCoV-19/USA/CO-CDC-MMB08823659/2021
EPI_ISL_2451145	hCoV-19/USA/CO-CDC-MMB08834722/2021
EPI_ISL_2451168	hCoV-19/USA/CO-CDC-MMB08833949/2021
EPI_ISL_2451302	hCoV-19/USA/TX-CDC-QDX25284151/2021
EPI_ISL_2451580	hCoV-19/USA/KS-CDC-2-4449373/2021
EPI_ISL_2452090	hCoV-19/USA/WY-CDC-2-4451059/2021
EPI_ISL_2452092	hCoV-19/USA/WY-CDC-2-4451159/2021
EPI_ISL_2455375	hCoV-19/USA/MN-MDH-7979/2021
EPI_ISL_2455467	hCoV-19/USA/KS-KHEL-2237/2021
EPI_ISL_2455468	hCoV-19/USA/KS-KHEL-2238/2021
EPI_ISL_2455469	hCoV-19/USA/KS-KHEL-2239/2021
EPI_ISL_2461369	hCoV-19/India/JK-NCDC-2509321/2021
EPI_ISL_2461587	hCoV-19/India/UK-NCDC-260961/2021
EPI_ISL_2461736	hCoV-19/India/UK-NCDC-2609176/2021
EPI_ISL_2461756	hCoV-19/India/UK-NCDC-2609301/2021
